Title,DOI,Authors,Date,VectorNoPath,Pathogen_Disease,Overlap Pathogens,Vector,ISO_code,ISO_country,Region,Method,Category,Data,Host species,Human case data,Sampling method
"Spatial and temporal patterns of Lyme Neuroborreliosis on Funen, Denmark from 1995–2014",https://doi.org/10.1038/s41598-020-64638-5,"Amalie Muus Andreasen, Petter Bart Dehlendorff, Fredrikke Christie Knudtzen, Rene Bødker, Lene Jung Kjær & Sigurdur Skarphedinsson ",2020,,Lyme borreliosis,Borrelia garinii,Ixodes ricinus,DNK,Denmark  ,Denmark,Mapped incidence and SaTScan,"Prevalence mapping,Grey data,Cluster analysis",Lyme cases,Human,checked,
Modelling a discrete spatial response using generalized linear mixed models: application to Lyme disease vectors,https://doi.org/10.1080/13658810110099134,"Abhik Das,Subhash R. Lele,Gregory E. Glass,Timothy Shields &Jonathan Patz",2010,checked,Lyme borreliosis,,Ixodes scapularis,USA,the United States of America,"Maryland, USA",Mapped tick densities and spatial regression,Risk mapping,Tick abundance,,,Collected from deer
Tick-Borne Encephalitis and Lyme Disease in Hungary: The Epidemiological Situation Between 1998 and 2008,https://doi.org/10.1089/vbz.2011.0905,"Viktor Zöldi, Attila Juhász, Csilla Nagy, Zoltán Papp, and László Egyed",2013,,Lyme borreliosis,TBEV,Ixodes ricinus,HUN,Hungary,Hungary,Smoothed incidence rates and posterior probabilies,Risk mapping,Lyme cases reported to health department,Human,checked,
Two Introductions of Lyme Disease into Connecticut: A Geospatial Analysis of Human Cases from 1984 to 2012,https://doi.org/10.1089/vbz.2015.1791,"Ling Xue, Caterina Scoglio, D. Scott McVey, Rebecca Boone, and Lee W. Cohnstaedt",2015,,Lyme borreliosis,,,USA,the United States of America,Connecticut,"clustering, Global Moran's I ","Endemicity mapping,Cluster analysis",human case data,Human,checked,
"Distribution of Ticks and the Risk of Lyme Disease and Other Tick-Borne Pathogens of Public Health Significance in Ontario, Canada",https://doi.org/10.1089/vbz.2015.1890,"Katie M. Clow, Nicholas H. Ogden, L. Robbin Lindsay, Pascal Michel, David L. Pearl, and Claire M. Jardine",2016,,Lyme borreliosis,Human Anaplasmosis  ,Ixodes scapularis,CAN,Canada,"Ontario, Canada","Mapped presence of Lyme and Ixodes scapularis, SaTScan","Grey data,Cluster analysis",Ticks and ticks positive for B. burgdorferi,,,dragging
High-Resolution Ecological Niche Modeling of Ixodes scapularis Ticks Based on Passive Surveillance Data at the Northern Frontier of Lyme Disease Emergence in North America,https://doi.org/10.1089/vbz.2017.2234,"Jean-Paul R. Soucy, Andreea M. Slatculescu, Christine Nyiraneza, Nicholas H. Ogden, Patrick A. Leighton, Jeremy T. Kerr, and Manisha A. Kulkarni",2018,checked,Lyme borreliosis,,Ixodes scapularis,CAN,Canada,"Ottowa, Canada",MaxEnt   ,"Ecological niche modeling,Grey data",Ticks submitted via passive surveillance,,,Ticks submitted to health department
Objective assessment of risk maps of tick-borne encephalitis and Lyme borreliosis based on spatial patterns of located cases.,https://doi.org/10.1093/ije/26.5.1121,P Zeman,1997,,Lyme borreliosis,TBEV,Ixodes ricinus,CZE,Czechia,Czech Republic,Point Pattern Analysis and Kernel Smoothing,"Grey data,Risk mapping",Lyme cases,Human,checked,Flagging for model validation
Habitat Suitability Model for the Distribution of Ixodes scapularis (Acari: Ixodidae) in Minnesota,https://doi.org/10.1093/jme/tjw008,"T. L. Johnson, J. K. H. Bjork, D. F. Neitzel, F. M. Dorr, E. K. Schiffman, R. J. Eisen",2016,checked,Lyme borreliosis," Anaplasma phagocytophilum (anaplasmosis), Babesia microti (babesiosis), and the deer tick lineage of Powassan encephalitis virus",Ixodes scapularis,USA,the United States of America,"Minnesota, USA",MaxEnt,"Ecological niche modeling,Grey data",Tick occurrence data from health department,,,dragging
Modeling Climate Suitability of the Western Blacklegged Tick in California,https://doi.org/10.1093/jme/tjy060,"Rebecca J Eisen, Shane Feirer, Kerry A Padgett, Micah B Hahn, Andrew J Monaghan, Vicki L Kramer, Robert S Lane, Maggi Kelly",2018,checked,Lyme borreliosis,,Ixodes pacificus,USA,the United States of America,"California, USA","BRT, GLM, MARS, MaxEnt, RF","Ecological niche modeling,Grey data",Tick occurrences  ,,,published literature and databases
"Decoupling of Blacklegged Tick Abundance and Lyme Disease Incidence in Southern Maine, USA",https://doi.org/10.1093/jme/tjz218,"Susan P Elias, Kirk A Maasch, Norman T Anderson, Peter W Rand, Eleanor H Lacombe, Rebecca M Robich, Charles B Lubelczyk, Robert P Smith, Jr",2020,,Lyme borreliosis,,Ixodes scapularis,USA,the United States of America,"Maine, USA",Mapped average Lyme incidence,Endemicity mapping,Lyme cases,Human,checked,
Methods for Evaluating Lyme Disease Risks Using Geographic Information Systems and Geospatial Analysis,https://doi.org/10.1093/jmedent/33.5.711,"Matthew C. Nicholson, Thomas N. Mather",1996,,Lyme borreliosis,Babesiosis,Ixodes scapularis,USA,the United States of America,Rhode Island,"Overlay analysis, kriging","Grey data,Prevalence mapping,Risk mapping",Ixodes scapularis drag data and human case data,Human,checked,
Forum: Reported Distribution of Ixodes scapularis and Ixodes pacificus (Acari: Ixodidae) in the United States,https://doi.org/10.1093/jmedent/35.5.629,"David T. Dennis, Trudi S. Nekomoto, John C. Victor, William S. Paul, Joseph Piesman",1998,checked,Lyme borreliosis,,"Ixodes scapularis,Ixodes pacificus",USA,the United States of America,USA,Mapped reports of tick occurrence,Endemicity mapping,Reported tick presence,,,"Expert questionnaires, literature, and collections"
Geostatistics and Remote Sensing as Predictive Tools of Tick Distribution: a Cokriging System to Estimate Ixodes scapularis (Acari: Ixodidae) Habitat Suitability in the United States and Canada from Advanced Very High Resolution Radiometer Satellite Imagery,https://doi.org/10.1093/jmedent/35.6.989,Agustin Estrada-Peña,1998,checked,Lyme borreliosis,,Ixodes scapularis,"USA,CAN","the United States of America, Canada",North America,cokriging,"Grey data,Risk mapping",Tick occurrences,,,Published datasets
"Epidemic and Spatial Dynamics of Lyme Disease in New York State, 1990–2000 ",https://doi.org/10.1093/jmedent/42.5.899,"Haiyan Chen, Dennis J. White, Thomas B. Caraco, Howard H. Stratton",2005,,Lyme borreliosis,,Ixodes sp.,USA,the United States of America,"New York, USA",Mapped incidence and Local Moran's I,"Prevalence mapping,Cluster analysis",Lyme cases,Human,checked,
Spatiotemporal Patterns of Host-Seeking Ixodes scapularis Nymphs (Acari: Ixodidae) in the United States,https://doi.org/10.1093/jmedent/43.2.166,"M. A. Diuk-Wasser, A. G. Gatewood, M. R. Cortinas, S. Yaremych-Hamer, J. Tsao, U. Kitron, G. Hickling, J. S. Brownstein, E. Walker, J. Piesman, D. Fish",2014,checked,Lyme borreliosis,Mapped proportions of A. americanum and D. variabilis,Ixodes scapularis,USA,the United States of America,USA,Moran's I and Gi*,"Grey data,Cluster analysis",Nymphal tick densities,,,Dragging
Investigation of Ground Level and Remote-Sensed Data for Habitat Classification and Prediction of Survival of Ixodes scapularis in Habitats of Southeastern Canada,https://doi.org/10.1093/jmedent/43.2.403,"N. H. Ogden, I. K. Barker, G. Beauchamp, S. Brazeau, D. F. Charron, A. Maarouf, M. G. Morshed, C. J. O’Callaghan, R. A. Thompson, D. Waltner-Toews, M. Waltner-Toews, L. R. Lindsay",2006,checked,Lyme borreliosis,,Ixodes scapularis,CAN,Canada,"Ontario, Canada",Landsat values with threshold based on regression analysis,Risk mapping,Experimental tick survival,,,flagging   
"Geographical Distribution Patterns and Habitat Suitability Models for Presence of Host-Seeking Ixodid Ticks in Dense Woodlands of Mendocino County, California",https://doi.org/10.1093/jmedent/43.2.415,"L. Eisen, R. J. Eisen, R. S. Lane",2014,checked,Lyme borreliosis,"Anaplasmosis (Anaplasma phagocytophilum), Tularemia (Francisella tularensis and the Rocky Mountain spotted fever agent, Rickettsia rickettsii",Ixodes pacificus,USA,the United States of America,"California, USA","Mapped tick occurrences, logistic regression model for ticks","Grey data,Risk mapping",Tick occurrences  ,,,dragging
Ixodes scapularis Ticks Collected by Passive Surveillance in Canada: Analysis of Geographic Distribution and Infection with Lyme Borreliosis Agent Borrelia burgdorferi ,https://doi.org/10.1093/jmedent/43.3.600,"N. H. Ogden, L. Trudel, H. Artsob, I. K. Barker, G. Beauchamp, D. F. Charron, M. A. Drebot, T. D. Galloway, R. O’handley, R. A. Thompson, L. R. Lindsay",2006,,Lyme borreliosis,,Ixodes scapularis,CAN,Canada,Canada,"Mapped tick collections, negative binomial regression for ticks, Moran's I","Endemicity mapping,Prevalence modeling,Risk mapping,Cluster analysis",Tick occurrences  ,,,passive surveillance
"Spatiotemporal Bayesian Analysis of Lyme Disease in New York State, 1990-2000 ",https://doi.org/10.1093/jmedent/43.4.777,Chen et al.,2006,,Lyme borreliosis,,Ixodes sp.,USA,the United States of America,"New York, USA","mapped incidence, Moran's I, Bayes hierarchical modeling","Prevalence mapping,Prevalence modeling,Risk mapping,Cluster analysis",Lyme cases,Human,checked,
"Passive Surveillance in Maine, an Area Emergent for Tick-Borne Diseases ",https://doi.org/10.1093/jmedent/44.6.1118,Rand et al.,2007,,Lyme borreliosis,"Powassan, human granulocytic anaplasmosis and babesiosis","Ixodes scapularis,Ixodes cookei",USA,the United States of America,"Maine, USA",Mapped tick densities,Endemicity mapping,Tick abundance,,,tick submission program
"Investigation of Ecological and Environmental Determinants for the Presence of Questing Ixodes ricinus (Acari: Ixodidae) on Gower, South Wales",https://doi.org/10.1093/jmedent/45.2.314,"J. M. Medlock, M. E. Pietzsch, N. V. P. Rice, L. Jones, E. Kerrod, D. Avenell, S. Los, N. Ratcliffe, S. Leach, T. Butt",2014,,Lyme borreliosis,TBEV,Ixodes ricinus,GBR,United Kingdom of Great Britain and Northern Ireland,"South Wales, UK",Suitability map based on ranked GIS univariate analysis,Risk mapping,,,,
"Geographic Expansion of Lyme Disease in Michigan, 2000–2014 ",https://doi.org/10.1093/ofid/ofw269,"Paul M. Lantos, Jean Tsao, Lise E. Nigrovic, Paul G. Auwaerter, Vance G. Fowler, Felicia Ruffin, Erik Foster, Graham Hickling ",2017,,Lyme borreliosis,,Ixodes scapularis,USA,the United States of America,"Michigan, USA",Mapped tick expansion and SaTScan,"Endemicity mapping,Cluster analysis",Lyme cases and field reports of ticks,Human,checked,County records and collections databases
"Projected climate and land use change alter western blacklegged tick phenology, seasonal host‐seeking suitability and human encounter risk in California",https://doi.org/10.1111/gcb.15269,Andrew J. MacDonald  Sofie McComb  Craig O’Neill  Kerry A. Padgett  Ashley E. Larsen,2020,checked,Lyme borreliosis,,Ixodes pacificus,USA,the United States of America,"California, USA",MaxEnt,"Ecological niche modeling,Grey data",Tick occurrences,,,Tick survey data from department of health
Species Distribution Models and Ecological Suitability Analysis for Potential Tick Vectors of Lyme Disease in Mexico,https://doi.org/10.1155/2012/959101,"Patricia Illoldi-Rangel,1 Chissa-Louise Rivaldi,1 Blake Sissel,1 Rebecca Trout Fryxell,2 Guadalupe Gordillo-Pérez,3 Angel Rodríguez-Moreno,4 Phillip Williamson,5 Griselda Montiel-Parra,6 Víctor Sánchez-Cordero,4 and Sahotra Sarkar 1",2012,checked,Lyme borreliosis,"A. cajennense (feeds on Lyme reservoirs, and Rickettsia rickettsii)",Ixodes sp.,"USA,MEX","the United States of America, Mexico",Mexico and Texas,MaxEnt,Ecological niche modeling,Tick occurrences from field and literature,,,
Assessing the effects of variables and background selection on the capture of the tick climate niche,https://doi.org/10.1186/1476-072X-12-43,"Agustín Estrada-Peña, Adrián Estrada-Sánchez, David Estrada-Sánchez & José de la Fuente ",2013,checked,Lyme borreliosis,,Ixodes ricinus,"MAR,LBY,DZA,TUN","Europe, Eastern Mediterranean, Libya, Algeria, Tunisia, Morocco",Western  palaearctc,MaxEnt,"Ecological niche modeling,Grey data",Tick occurrences,,,published data
"Risk maps for range expansion of the Lyme disease vector, Ixodes scapularis, in Canada now and with climate change",https://doi.org/10.1186/1476-072X-7-24,"Nicholas H Ogden, Laurie St-Onge, Ian K Barker, Stéphanie Brazeau, Michel Bigras-Poulin, Dominique F Charron, Charles M Francis, Audrey Heagy, LRobbin Lindsay, Abdel Maarouf, Pascal Michel, François Milord, Christopher J O'Callaghan, Louise Trudel & RAlex Thompson ",2008,checked,Lyme borreliosis,,Ixodes scapularis,CAN,Canada,southeastern Canada,logistic regression ROC,Risk mapping,tick occurrence,,,
Implications of climate change on the distribution of the tick vector Ixodes scapularis and risk for Lyme disease in the Texas-Mexico transboundary region,https://doi.org/10.1186/1756-3305-7-199,"Teresa P Feria-Arroyo, Ivan Castro-Arellano, Guadalupe Gordillo-Perez, Ana L Cavazos, Margarita Vargas-Sandoval, Abha Grover, Javier Torres, Raul F Medina, Adalberto A Pérez de León & Maria D Esteve-Gassent ",2014,,Lyme borreliosis,,Ixodes scapularis,"USA,MEX","the United States of America, Mexico",Texas and Mexico,MaxEnt,"Ecological niche modeling,Endemicity mapping,Grey data",Tick occurrences  ,,,"Ticks collected from humans, dogs, and livestock"
Exploratory spatial analysis of Lyme disease in Texas –what can we learn from the reported cases?,https://doi.org/10.1186/s12889-015-2286-0,"Barbara Szonyi, Indumathi Srinath, Maria Esteve-Gassent, Blanca Lupiani & Renata Ivanek ",2015,,Lyme borreliosis,,Ixodes scapularis,USA,the United States of America,"Texas, USA","Mapped Lyme incidence, local Moran's I","Prevalence mapping,Risk mapping,Cluster analysis",Lyme cases,Human,checked,
Environmental drivers of Ixodes ricinus abundance in forest fragments of rural European landscapes,https://doi.org/10.1186/s12898-017-0141-0,"Stefen Ehrmann1* , Jaan Liira2 , Stefanie Gärtner3 , Karin Hansen4 , Jörg Brunet5 , Sara A. O. Cousins6 , Marc Deconchat7 , Guillaume Decocq8,13 , Pieter De Frenne9,10 , Pallieter De Smedt9 , Martin Diekmann11 , Emilie Gallet‑Moron8 , Annette Kolb11 , Jonathan Lenoir8 , Jessica Lindgren6 , Tobias Naaf12, Taavi Paal2 , Alicia Valdés8 , Kris Verheyen9 , Monika Wulf12 and Michael Scherer‑Lorenzen1",2017,checked,Lyme borreliosis,TBEV,Ixodes ricinus,,Europe,Europe,Mapped tick abundance with life stages,Grey data,,,,dragging
Modelling and mapping tick dynamics using volunteered observations,https://doi.org/10.1186/s12942-017-0114-8,"Irene Garcia-Martí, Raúl Zurita-Milla, Arnold J. H. van Vliet & Willem Takken ",2017,checked,Lyme borreliosis,,,NLD,the Netherlands,Netherlands,Modeled active questing ticks and ensemble regression modeling,Risk mapping,Sampled questing ticks,,,Volunteer-collected tick dragging
Citizen science informs human-tick exposure in the Northeastern United States,https://doi.org/10.1186/s12942-019-0173-0,Porter et al.,2019,,Lyme borreliosis,"B. miyamotoi, relapsing fever, Anaplasma phagocytophilum, Powassan",Ixodes scapularis,USA,the United States of America,NE USA,Mapped tick abundance  pathogen presence in ticks,Endemicity mapping,Tick abundance,,,Ticks screened and submitted via citizen science project
A 117-year retrospective analysis of Pennsylvania tick community dynamics,https://doi.org/10.1186/s13071-019-3451-6,Pak et al.,2019,checked,Lyme borreliosis,Powassan,Dermacentor variabilis,USA,the United States of America,"Pennsylvania, US",Mapped tick prevalence over time,"Prevalence mapping,Endemicity mapping",Tick abundance,,,"flagging, dragging, citizen submissions"
Increasing habitat suitability in the United States for the tick that transmits Lyme disease: a remote sensing approach,https://doi.org/10.1289/ehp.110-1240908,Agustín Estrada-Peña,2002,checked,Lyme borreliosis,,Ixodes scapularis,USA,the United States of America,USA,DOMAIN similarity metric,"Endemicity mapping,Risk mapping",Tick occurrences,,,published tick records
A climate-based model predicts the spatial distribution of the Lyme disease vector Ixodes scapularis in the United States.,https://doi.org/10.1289/ehp.6052,"John S Brownstein, Theodore R Holford, and Durland Fish",2003,checked,Lyme borreliosis,,Ixodes scapularis,USA,the United States of America,USA,Logistic regression   ,Risk mapping,nymphal tick abudnace,,,dragging
Integrated Social-Behavioral and Ecological Risk Maps to Prioritize Local Public Health Responses to Lyme Disease,https://doi.org/10.1289/EHP1943,"Catherine Bouchard, Cécile Aenishaenslin, Erin E. Rees, Jules K. Koffi, Yann Pelcat, Marion Ripoche, François Milord, L. Robbin Lindsay, Nicholas H. Ogden, and Patrick A. Leighton",2018,checked,Lyme borreliosis,,Ixodes scapularis,CAN,Canada,"Quebec, Canada",Predicted tick density,Risk mapping,Sampled tick densities,,,dragging
Different Ecological Niches for Ticks of Public Health Significance in Canada,https://doi.org/10.1371/journal.pone.0131282,"Vanessa Gabriele-Rivet,Julie Arsenault,Jacqueline Badcock,Angela Cheng,Jim Edsall,Jim Goltz,Joe Kennedy,L. Robbin Lindsay,Yann Pelcat,Nicholas H. Ogden ",2015,,Lyme borreliosis,Tularemia and Human Anaplasmosis,"Ixodes scapularis,Haemaphysalis leporispalustris",CAN,Canada,Canada,"logistic regression models, cluster analysis (SaTScan and Ripley's K)","Grey data,Risk mapping,Cluster analysis",tick occurrence,,,drag sampling
Climate change influences on the potential geographic distribution of the disease vector tick Ixodes ricinus,https://doi.org/10.1371/journal.pone.0189092,"Abdelghafar A. Alkishe ,A. Townsend Peterson,Abdallah M. Samy ",2017,checked,Lyme borreliosis,TBEV,Ixodes ricinus,,Europe,Europe,MaxEnt   ,"Ecological niche modeling,Grey data",Tick occurrences,,,"GBIF, literature, and other published databases"
"Large-scale health disparities associated with Lyme disease and human monocytic ehrlichiosis in the United States, 2007–2013",https://doi.org/10.1371/journal.pone.0204609,"Yuri P. Springer  ,Pieter T. J. Johnson ",2018,,Lyme borreliosis,Ehrlichiosis,Ixodes scapularis,USA,the United States of America,USA,Mapped county case counts and incidence,"Prevalence mapping,Endemicity mapping",Lyme cases,Human,checked,
"Could climate trends disrupt the contact rates between Ixodes ricinus (Acari, Ixodidae) and the reservoirs of Borrelia burgdorferi s.l.?",https://doi.org/10.1371/journal.pone.0233771,"Natalia Fernández-Ruiz ,Agustin Estrada-Peña  ",2020,,Lyme borreliosis,B. garinii or B. afzelii,Ixodes ricinus,,Europe,Europe,MaxEnt,"Ecological niche modeling,Risk mapping",Tick occurrences  ,,,Published datasets
Harvested White-Tailed Deer as Sentinel Hosts for Early Establishing Ixodes scapularis Populations and Risk From Vector-Borne Zoonoses in Southeastern Canada,https://doi.org/10.1603/ME12093,"C. Bouchard, P. A. Leighton, G. Beauchamp, S. Nguon, L. Trudel, F. Milord, L. R. Lindsay, D. Bélanger, N. H. Ogden",2013,,Lyme borreliosis,Anaplasma phagocytophilum,Ixodes scapularis,CAN,Canada,"Quebec, Canada",SaTScan,"Cluster analysis,Grey data",Ticks screened for pathogens,,,ticks collected from deer
Host Distribution Does Not Limit the Range of the Tick Ixodes ricinus but Impacts the Circulation of Transmitted Pathogens,https://doi.org/10.3389/fcimb.2017.00405,"Agustín Estrada-Peña1* and José de la Fuente2,3",2017,,Lyme borreliosis,,Ixodes ricinus,,Europe,Western  palaearctc,MaxEnt and centrality-weighted habitat overlap,"Ecological niche modeling,Risk mapping",Tick occurrences  ,,,published literature
Predicting tick presence by environmental risk mapping,https://doi.org/10.3389/fpubh.2014.00238,"imageArno Swart1*, imageAdolfo Ibañez-Justicia2, imageJan Buijs3, imageSip E. van Wieren4, imageTim R. Hofmeester4, imageHein Sprong1 and imageKatsuhisa Takumi1",2014,checked,Lyme borreliosis,,Ixodes ricinus,NLD,the Netherlands,Netherlands,Discriminant analysis and expert opinion,"Grey data,Risk mapping",Tick occurrences  ,,,dragging
Multi-Scale Clustering of Lyme Disease Risk at the Expanding Leading Edge of the Range of Ixodes scapularis in Canada,https://doi.org/10.3390/ijerph15040603,"Marion Ripoche 1,2,*OrcID,Leslie Robbin Lindsay 3,Antoinette Ludwig 2,4,Nicholas H. Ogden 2,4,Karine Thivierge 2,5,6 andPatrick A. Leighton 1,2",2018,,Lyme borreliosis,Anaplasmosis,Ixodes scapularis,CAN,Canada,Canada,"Mapped nymph distribution, Gi* hotspot analysis","Grey data,Cluster analysis",Ticks and ticks positive for B. burgdorferi,,,dragging
Using Landscape Analysis to Test Hypotheses about Drivers of Tick Abundance and Infection Prevalence with Borrelia burgdorferi,https://doi.org/10.3390/ijerph15040737,"A. Michelle Ferrell 1 andR. Jory Brinkerhoff 1,2,*",2018,,Lyme borreliosis,,Ixodes scapularis,USA,the United States of America,"Virginia, USA",mapped Lyme disease incidence,Endemicity mapping,Lyme cases,Human,checked,
Mapping the Potential Distribution of Major Tick Species in China,https://doi.org/10.3390/ijerph17145145,"by Xin Yang 1,Zheng Gao 1,Tianli Zhou 2,Jian Zhang 2,Luqi Wang 1,Lingjun Xiao 1,Hongjuan Wu 1 andSen Li 1,3,4,*OrcID",2020,checked,Lyme borreliosis,"SDMs for Dermacentor marginatus, Haemaphysalis longicornis, Rhipicephalus sanguineus, and R. microplus",Ixodes granulatus,CHN,China,China,MaxEnt   ,"Ecological niche modeling,Grey data",Tick occurrence,,,Peer-reviewed literature
"Analyzing the Correlation between Deer Habitat and the Component of the Risk for Lyme Disease in Eastern Ontario, Canada: A GIS-Based Approach",https://doi.org/10.3390/ijgi4010105,"Dongmei Chen 1,*OrcID,Haydi Wong 1,Paul Belanger 1,2,Kieran Moore 2,Mary Peterson 2 andJohn Cunningham 3",2015,,Lyme borreliosis,,Ixodes scapularis,CAN,Canada, eastern Ontario,GIS decision analysis of habitat suitability for deer,"Endemicity mapping,Risk mapping"," deer habitat suitability, adjusted deer harvest data, the number of tick submissions and ticks positive for B. burgdorferi.",,,
Modeling the Distribution of Medically Important Tick Species in Florida,https://doi.org/10.3390/insects10070190,"William H. Kessler 1,*,Claudia Ganser 1 andGregory E. Glass 2",2019,checked,Lyme borreliosis,"Anaplasmosis (Anaplasma phagocytophilum), Ehrlichiosis causing agents, and the parasite Babesia microti , Human Ehrlichiosis (Ehrlichia chaffeensis) and E. ewingii, Tularemia (Francisella tularensis), Rocky Mountain Spotted Fever (Rickettsia rickettsii)","Ixodes scapularis,Dermacentor variabilis,Amblyomma americanum",USA,the United States of America,"Florida, USA","Ensemble of LR, BRT, RF, MARS, MaxEnt",Ecological niche modeling,Tick occurrences,,,field collections
Diluting the dilution effect: a spatial Lyme model provides evidence for the importance of habitat fragmentation with regard to the risk of infection,https://doi.org/10.4081/gh.2009.217,Agustín Estrada-Peña,2009,,Lyme borreliosis,,Ixodes scapularis,USA,the United States of America,"New York, USA",MaxEnt for ticks and mapped host density,"Ecological niche modeling,Risk mapping",I. scapularis infected with B. burgdorferi,,,Tick records from databases and published literature
A determination of the spatial concordance between Lyme disease incidence and habitat probability of its primary vector Ixodes scapularis (black-legged tick),https://doi.org/10.4081/gh.2014.17,"Samuel F. Atkinson1, Sahotra Sarkar2, Aldo Aviña3, Jim A. Schuermann4, Phillip Williamson",2014,,Lyme borreliosis,,Ixodes scapularis,USA,the United States of America,Texas,maxent and smoothed kernal density ,"Ecological niche modeling,Prevalence mapping,Risk mapping","tick occurance and pathogen prevelance, and incidence of human cases",Human,checked,
"Evaluating the utility of companion animal tick surveillance practices for monitoring spread and occurrence of human Lyme disease in West Virginia, 2014-2016",https://doi.org/10.4081/gh.2017.582,"Hendricks, Mark-Carew, Conley",2017,,Lyme borreliosis,,Ixodes scapularis,USA,the United States of America,"West Virginia, USA","Moran's I, spatial regression","Grey data,Prevalence mapping,Cluster analysis",Human Lyme cases and ticks,Human,checked,collected from dogs and cats via participating veterinary offices
Temporal and Spatial Distribution of Tick-Borne Disease Cases among Humans and Canines in Illinois (2000-2009),https://doi.org/10.4137%2FEHI.S16017,"John A. Herrmann, Nicole M. Dahm, Marilyn O. Ruiz, William M. Brown",2014,,Lyme borreliosis,"Anaplasmosis, ehrlichiosis, Lyme disease (LD; borreliosis), and Rocky Mountain spotted fever",Ixodes sp.,USA,the United States of America,"Illinois, USA",Mapped cases and shifts in distribution,"Grey data,Endemicity mapping,Risk mapping",Cases reported to health department and institutional canine survey,Human,checked,
Spatial and Temporal Emergence Pattern of Lyme Disease in Virginia,https://doi.org/10.4269/ajtmh.13-0733,"Jie Li, Korine N. Kolivras, Yili Hong, Yuanyuan Duan, Sara E. Seukep, Stephen P. Prisley, James B. Campbell, David N. Gaines",2014,,Lyme borreliosis,,Ixodes sp.,USA,the United States of America,"Virginia, USA",Mapped rates and SaTScan,"Prevalence mapping,Cluster analysis",Lyme cases   ,Human,checked,
An Acarological Risk Model Predicting the Density and Distribution of Host-Seeking Ixodes scapularis Nymphs in Minnesota,https://doi.org/10.4269/ajtmh.17-0539,"Tammi L. Johnson1, Karen A. Boegler1, Rebecca J. Clark1, Mark J. Delorey1, Jenna K. H. Bjork2, Frances M. Dorr2, Elizabeth K. Schiffman2, David F. Neitzel2, Andrew J. Monaghan3, Rebecca J. Eisen1",2018,,Lyme borreliosis,"B. mayonii, B. miyamotoi, Human anaplasmosis, Powassan, Babesia microti",Ixodes scapularis,USA,the United States of America,"Minnesota, USA","mapped I. scalpularis population, MaxEnt for site selection, projected zero-inflated negative binomial (ZINB) model for density, mapped risk from pooled I. scapularis transmitted diseases","Endemicity mapping,Grey data,Risk mapping",,,,dragging
"PREDICTING DENSITY OF IXODES PACIFICUS NYMPHS IN DENSE WOODLANDS IN MENDOCINO COUNTY, CALIFORNIA, BASED ON GEOGRAPHIC INFORMATION SYSTEMS AND REMOTE SENSING VERSUS FIELD-DERIVED DATA",https://doi.org/10.4269/ajtmh.2006.74.632,"REBECCA J. EISEN1, LARS EISEN1, ROBERT S. LANE1,*",2006,checked,Lyme borreliosis,,Ixodes pacificus,USA,the United States of America,"California, USA",Predicted tick density via stepwise regression model,"Grey data,Risk mapping",Tick abundance,,,dragging
"Geographic Distribution and Expansion of Human Lyme Disease, United States",https://dx.doi.org/10.3201%2Feid2108.141878,"Kiersten J. KugelerComments to Author , Grace M. Farley, Joseph D. Forrester, and Paul S. Mead",2015,,Lyme borreliosis,,,USA,the United States of America,US,SaTScan,"Cluster analysis,Endemicity mapping",Lyme disease cases,Human,checked,
"Geographical Features and Seroprevalence of Borrelia burgdorferi in Erzincan, Turkey",https://pubmed.ncbi.nlm.nih.gov/30918907/,"Aytekin Cikman,1,* Merve Aydin,1,2 Baris Gulhan,1 Faruk Karakecili,3 Levent Demirtas,4 and Ozan Arif Kesik5",2018,,Lyme borreliosis,,Ixodes ricinus,TUR,Turkey,Turkey,Mapped seropositive cases,"Grey data,Risk mapping",Lyme cases,Human,checked,
Genetic characterization of spotted fever group rickettsiae in questing ixodid ticks collected in Israel and environmental risk factors for their infection,DOI:10.1017/S0031182017000336,Rose et al. ,2017,,Mediterranean spotted fever,"Rickettsia massiliae, ‘Candidatus Rickettsia barbariae’","Rhipicephalus sp.,Rhipicephalus turanicus,Rhipicephalus sanguineus",ISR,Israel,Israel,MaxEnt,Ecological niche modeling,Sampled ticks screened for Rickettsial pathogens,,,Flagging questing ticks
"Species composition, distribution, ecological preference and host association of ticks in Cyprus",https://doi.org/10.1007/s10493-016-0091-9,Tsatsaris et al,2016,checked,Mediterranean spotted fever,,"Rhipicephalus sanguineus,Rhipicephalus sanguineus,Rhipicephalus turanicus,Rhipicephalus bursa,Rhipicephalus pusillus,Ixodes gibbosus,Ixodes ventalloi,Hyalomma excavatum,Hyalomma marginatum,Hyalomma rufipes,Haemaphysalis sulcata,Haemaphysalis punctata",CYP,Cyprus,Cyprus,Mapped distribution of tick species,Grey data,Sampled ticks,,,ticks collected from wild and domestic animals
Recognizing sources of uncertainty in disease vector ecological niche models: An example with the tick Rhipicephalus sanguineus sensu lato,https://doi.org/10.1016/j.pecon.2020.03.002,Alkishe et al.,2020,checked,Mediterranean spotted fever,"Rocky Mountain Spotted Fever (R. rickettsii),  Q Fever (Coxiella burnetii), and Ehrlichia canis",Rhipicephalus sanguineus,,Global,Global,background similarity test in ENMTools,"Grey data,Endemicity mapping,Ecological niche modeling","Tick records from GBIF, SpeciesLink, and literature",,,
